"THETA1","THETA2","THETA3","THETA4","THETA5","THETA6","THETA7","THETA8","SIGMA.1.1.","OMEGA.1.1.","OMEGA.2.1.","OMEGA.2.2.","OMEGA.3.1.","OMEGA.3.2.","OMEGA.3.3.","OBJ","WEIGHT"
0.427421,4.14158,1.18616,4.22474,1.28318,0.497673,-0.0175456,0.436703,0.0374913,0.268353,0.068142,0.0864573,0.12413,0.0697482,0.114867,30914.6349004739,0.399865566312476
0.458845,4.097,1.17228,4.18205,1.28191,0.492468,-0.0648717,0.414591,0.0420738,0.196115,0.0685198,0.0834414,0.105819,0.0634946,0.0979667,30915.81091427,1.02648994499508
0.429689,4.09384,1.13781,4.22139,1.31678,0.470875,-0.113419,0.483797,0.0405973,0.214088,0.0670607,0.0770431,0.0977614,0.052415,0.0915527,30917.4469777698,4.67028746079773
0.405057,4.1101,1.16501,4.22579,1.30986,0.530553,-0.0758917,0.532303,0.0387799,0.225179,0.0823984,0.0794142,0.135449,0.0764216,0.137072,30916.2867094545,2.02367888326845
0.442652,4.14397,1.18027,4.20198,1.28341,0.517697,-0.00304125,0.44864,0.0390611,0.267534,0.0779679,0.0815275,0.135367,0.0747127,0.123043,30909.5145505781,1.54808386874281
0.39957,4.11779,1.20362,4.18651,1.29264,0.450797,0.0024069,0.346738,0.0409283,0.178833,0.056598,0.0808087,0.117247,0.0724814,0.117744,30915.7514341127,1.2687245719874
0.451158,4.10142,1.1901,4.20894,1.31551,0.487679,0.0401155,0.503437,0.0406291,0.280404,0.0750458,0.0892008,0.126198,0.0761165,0.108259,30914.1977280746,1.58112759107796
0.473946,4.10574,1.17077,4.2005,1.34294,0.42326,-0.00221399,0.389568,0.0402512,0.23738,0.0580515,0.0825718,0.108383,0.0518664,0.0798275,30925.9724650323,0.195650928426413
0.384511,4.08115,1.1559,4.18162,1.25072,0.471289,-0.0428977,0.537617,0.0403981,0.128307,0.0359937,0.0741681,0.0804047,0.0534765,0.0900614,30922.4031339625,0.486684963132407
0.496018,4.13393,1.17978,4.20027,1.29483,0.432093,0.0710876,0.24915,0.0408684,0.232603,0.0920947,0.0879242,0.154121,0.075971,0.113242,30924.3907617152,0.0748542631681934
0.518664,4.15933,1.2149,4.22917,1.26496,0.461087,0.0434051,0.40235,0.0398212,0.230412,0.0707654,0.0791362,0.117165,0.0688968,0.104384,30913.9526458846,1.50026402229923
0.295716,4.05247,1.11551,4.22804,1.35231,0.512127,-0.0841226,0.45278,0.0402518,0.278793,0.0613146,0.0846425,0.131568,0.0727787,0.12183,30920.3309685639,2.59926258532212
0.537963,4.15612,1.17083,4.21783,1.23389,0.471487,-0.0562108,0.326689,0.0392545,0.308494,0.0684894,0.0743358,0.154216,0.0698808,0.118105,30915.6630110025,0.631431333135209
0.443646,4.15102,1.18921,4.23503,1.24264,0.51127,-0.0405743,0.47348,0.042037,0.164735,0.0368538,0.0628943,0.0879451,0.050342,0.0928293,30918.3557085985,0.719863885730034
0.360522,4.11526,1.18433,4.19989,1.29721,0.510279,-0.033488,0.439667,0.0395706,0.144206,0.0651297,0.0736653,0.0812969,0.0616223,0.104783,30922.786864338,0.0219405423776628
0.486447,4.16967,1.18739,4.17483,1.25171,0.459298,0.0189819,0.313232,0.0410044,0.162422,0.0423141,0.0839359,0.118639,0.0685625,0.112834,30920.0791292131,0.51780818873802
0.50439,4.12717,1.22785,4.23616,1.29927,0.446028,0.0459394,0.353038,0.0416731,0.162214,0.0685409,0.0757869,0.136389,0.0682204,0.120206,30927.4379721086,0.120821655211512
0.491098,4.17424,1.19726,4.1929,1.31834,0.51402,-0.119977,0.389565,0.0409536,0.186875,0.0643487,0.0818892,0.113886,0.071531,0.121732,30917.1642809435,2.44498487622237
0.430147,4.08831,1.17701,4.21441,1.2547,0.462356,0.0588092,0.281969,0.0412685,0.269253,0.0459835,0.072283,0.131794,0.0639746,0.118129,30924.7857831122,0.440847151068654
0.387384,4.1329,1.17439,4.23513,1.29062,0.49832,-0.109928,0.426528,0.039755,0.179901,0.0456873,0.0765202,0.0827056,0.0634731,0.104594,30913.346046778,0.962066648881914
0.436694,4.07679,1.10996,4.21763,1.3053,0.42319,-0.148238,0.460702,0.0401234,0.322745,0.111928,0.0914914,0.160533,0.0817136,0.11982,30921.0674899663,1.17066978962402
0.440436,4.12126,1.1701,4.2215,1.28064,0.496753,0.00219992,0.519291,0.0407589,0.211923,0.078586,0.0847494,0.133061,0.0713721,0.107065,30913.2147388835,0.448363174043132
0.325398,4.10926,1.16189,4.21382,1.2595,0.498713,-0.0425577,0.466785,0.0410928,0.155894,0.0587575,0.0802957,0.0982523,0.0675855,0.11329,30915.4070054367,0.502750760214965
0.363524,4.13818,1.16572,4.22504,1.27072,0.515068,-0.0540251,0.399185,0.0401199,0.193706,0.0506203,0.0756128,0.114699,0.0626075,0.120735,30913.9105965167,1.22576505779407
0.43489,4.14137,1.16901,4.20336,1.24237,0.471692,0.0326321,0.446597,0.0403115,0.203692,0.0682482,0.0744189,0.113634,0.0735337,0.129884,30914.5781596197,1.37602001797666
0.516782,4.13137,1.20142,4.20213,1.31375,0.425451,-0.103901,0.360917,0.0392801,0.240765,0.0972742,0.0955962,0.118142,0.0768535,0.0910042,30939.9726080961,0.000681983249241431
0.444365,4.12592,1.1968,4.20082,1.32987,0.455673,-0.0352397,0.39053,0.0388909,0.201704,0.0473059,0.0737596,0.120901,0.063798,0.10237,30916.8961180645,0.664436430500294
0.40028,4.08666,1.13469,4.19177,1.20155,0.518453,0.0801852,0.439789,0.0383932,0.264552,0.0786775,0.0974271,0.118703,0.0770742,0.115695,30924.1653927309,30.3553025990868
0.396572,4.09055,1.19447,4.2719,1.36976,0.486151,-0.023113,0.456442,0.0413472,0.167262,0.0558368,0.0655254,0.103557,0.0598012,0.100166,30926.2365771474,1.15111596223746
0.294209,4.10143,1.14043,4.22226,1.33921,0.479356,0.0293757,0.416009,0.0402937,0.144202,0.0429243,0.0758014,0.0955592,0.0629995,0.111697,30917.9913352398,0.292940845992066
0.359629,4.05745,1.14327,4.1887,1.29325,0.435028,-0.140481,0.433939,0.0387773,0.196346,0.0872764,0.0880866,0.12504,0.084429,0.129696,30927.8614062918,0.320378856183723
0.404737,4.10418,1.18836,4.20169,1.2945,0.559019,-0.00817165,0.459122,0.0411367,0.179951,0.0654584,0.0808662,0.119684,0.0765442,0.132143,30913.4267417099,0.654177271956755
0.37864,4.11119,1.16399,4.19272,1.25573,0.534634,0.0122781,0.30743,0.0389794,0.152133,0.0614299,0.0753264,0.107515,0.0697456,0.121504,30918.6058086848,0.494457461402058
0.586619,4.16794,1.20949,4.18628,1.25554,0.514166,-0.0876533,0.3309,0.0417452,0.232674,0.065233,0.0743198,0.141762,0.0686101,0.127426,30918.0597753576,0.60067863578328
0.415639,4.11066,1.14163,4.20075,1.31478,0.445316,0.00628313,0.224004,0.0395705,0.237265,0.0573578,0.06869,0.12643,0.0583385,0.0973035,30920.0846376757,0.432932438925436
0.452451,4.12644,1.21024,4.25473,1.30033,0.526249,-0.0585685,0.489411,0.0405078,0.22023,0.0517978,0.0721397,0.142107,0.0716833,0.132557,30919.9125739611,2.01502282144692
